Name,Category,Dosage Form,Strength,Indication
Dextromycin,Antibiotic,Inhaler,920 mg,Pain
Ibupromycin,Antipyretic,Injection,760 mg,Wound
Amoxicillin,Analgesic,Cream,594 mg,Fungus
Ibupronazole,Antiseptic,Cream,747 mg,Pain
Clariprofen,Antidiabetic,Injection,650 mg,Wound
Ibupromycin,Antibiotic,Inhaler,486 mg,Fungus
Acetophen,Analgesic,Cream,76 mg,Virus
Dextrostatin,Antifungal,Capsule,296 mg,Wound
Dolomet,Antiseptic,Tablet,352 mg,Diabetes
Metophen,Antiseptic,Tablet,404 mg,Virus
Clariphen,Antipyretic,Syrup,956 mg,Pain
Cefcillin,Antidiabetic,Ointment,517 mg,Pain
Amoximet,Antifungal,Capsule,727 mg,Pain
Amoxivir,Antifungal,Syrup,289 mg,Virus
Metophen,Antidiabetic,Drops,44 mg,Fever
Clariphen,Analgesic,Ointment,742 mg,Depression
Cefmet,Antidepressant,Injection,720 mg,Diabetes
Cefnazole,Antiviral,Inhaler,520 mg,Diabetes
Acetovir,Antidepressant,Injection,188 mg,Wound
Dextrophen,Analgesic,Inhaler,406 mg,Wound
Amoxinazole,Analgesic,Ointment,35 mg,Depression
Dextromet,Antiviral,Syrup,564 mg,Fever
Clarinazole,Antibiotic,Syrup,252 mg,Infection
Ibuproprofen,Antidepressant,Inhaler,832 mg,Fungus
Clarinazole,Analgesic,Tablet,234 mg,Diabetes
Clariprofen,Antidepressant,Cream,801 mg,Infection
Clarimycin,Antibiotic,Syrup,254 mg,Pain
Acetostatin,Analgesic,Inhaler,490 mg,Diabetes
Ibuprophen,Antifungal,Ointment,967 mg,Depression
Ibuprovir,Antiseptic,Capsule,5 mg,Fever
Cefnazole,Antifungal,Capsule,83 mg,Fungus
Amoxinazole,Antidiabetic,Tablet,489 mg,Pain
Metovir,Antidiabetic,Inhaler,277 mg,Pain
Clarimet,Antidepressant,Injection,424 mg,Diabetes
Acetomet,Antiviral,Drops,226 mg,Pain
Dolomet,Antidepressant,Syrup,82 mg,Infection
Cefcillin,Antifungal,Inhaler,36 mg,Depression
Metoprofen,Antifungal,Injection,288 mg,Pain
Claricillin,Antidiabetic,Tablet,734 mg,Virus
Clariprofen,Antidepressant,Drops,379 mg,Virus
Cefphen,Antifungal,Cream,991 mg,Fungus
Metophen,Antifungal,Tablet,346 mg,Diabetes
Ibuprocillin,Antidepressant,Inhaler,903 mg,Infection
Metoprofen,Antibiotic,Drops,304 mg,Diabetes
Metostatin,Antipyretic,Ointment,982 mg,Pain
Cefstatin,Antidiabetic,Cream,214 mg,Virus
Clarimet,Antidiabetic,Inhaler,646 mg,Diabetes
Amoxistatin,Antibiotic,Capsule,819 mg,Depression
Metovir,Antidiabetic,Drops,656 mg,Pain
Ibupromycin,Analgesic,Ointment,382 mg,Wound
Dextronazole,Antiseptic,Tablet,367 mg,Diabetes
Dolonazole,Antifungal,Ointment,533 mg,Pain
Acetostatin,Antipyretic,Drops,498 mg,Fever
Cefmet,Analgesic,Inhaler,969 mg,Depression
Doloprofen,Antipyretic,Inhaler,338 mg,Diabetes
Claristatin,Antipyretic,Capsule,47 mg,Infection
Acetovir,Antibiotic,Capsule,940 mg,Diabetes
Amoxivir,Antidiabetic,Tablet,830 mg,Fever
Dolonazole,Antiseptic,Injection,235 mg,Virus
Ibuprophen,Antidepressant,Drops,976 mg,Infection
Acetostatin,Antidiabetic,Cream,722 mg,Pain
Metomycin,Analgesic,Inhaler,108 mg,Pain
Dextromet,Antiseptic,Syrup,998 mg,Virus
Metovir,Antifungal,Ointment,579 mg,Diabetes
Clarinazole,Antidiabetic,Injection,101 mg,Pain
Amoximycin,Antipyretic,Syrup,808 mg,Fungus
Dolomet,Analgesic,Drops,387 mg,Diabetes
Amoximycin,Antiviral,Capsule,382 mg,Pain
Claristatin,Antidepressant,Injection,270 mg,Diabetes
Ibuprocillin,Antipyretic,Ointment,559 mg,Wound
Metophen,Antiseptic,Injection,156 mg,Fever
Acetoprofen,Antiviral,Injection,150 mg,Infection
Cefnazole,Antipyretic,Capsule,412 mg,Infection
Amoxicillin,Antidepressant,Tablet,511 mg,Virus
Claristatin,Antibiotic,Injection,572 mg,Wound
Dextrocillin,Antidepressant,Inhaler,328 mg,Depression
Dextromycin,Antidiabetic,Ointment,948 mg,Diabetes
Dolophen,Antibiotic,Tablet,20 mg,Fever
Metoprofen,Antiviral,Inhaler,771 mg,Wound
Dolomet,Antiviral,Tablet,347 mg,Pain
Amoximycin,Antidiabetic,Cream,876 mg,Fungus
Dolomycin,Antidiabetic,Capsule,135 mg,Fungus
Metophen,Antipyretic,Capsule,700 mg,Infection
Dolomycin,Antidepressant,Inhaler,463 mg,Wound
Dolophen,Analgesic,Ointment,686 mg,Pain
Metonazole,Analgesic,Cream,124 mg,Fever
Metomet,Analgesic,Syrup,271 mg,Fungus
Acetomet,Analgesic,Capsule,211 mg,Depression
Doloprofen,Antipyretic,Syrup,567 mg,Depression
Dextrostatin,Antifungal,Cream,590 mg,Virus
Cefprofen,Antibiotic,Ointment,114 mg,Wound
Metomet,Antidepressant,Injection,406 mg,Diabetes
Acetovir,Analgesic,Tablet,563 mg,Virus
Dextrovir,Antifungal,Inhaler,940 mg,Diabetes
Clarivir,Antidiabetic,Drops,391 mg,Fever
Clarimycin,Antiviral,Cream,367 mg,Virus
Amoxicillin,Antipyretic,Drops,941 mg,Virus
Clarivir,Antibiotic,Capsule,504 mg,Diabetes
Metophen,Antidiabetic,Capsule,879 mg,Fever
Metonazole,Antibiotic,Drops,108 mg,Infection
Dextronazole,Antibiotic,Ointment,917 mg,Infection
Amoximycin,Antiseptic,Drops,410 mg,Fungus
Ibupromycin,Antidepressant,Drops,197 mg,Diabetes
Metovir,Antidepressant,Ointment,992 mg,Pain
Metoprofen,Antibiotic,Ointment,792 mg,Virus
Dextrophen,Antidepressant,Inhaler,363 mg,Fungus
Cefstatin,Antiviral,Tablet,808 mg,Fungus
Acetocillin,Antiseptic,Capsule,263 mg,Virus
Metonazole,Antidiabetic,Cream,585 mg,Fungus
Ibupronazole,Antifungal,Injection,646 mg,Pain
Cefprofen,Antibiotic,Tablet,112 mg,Pain
Ibuprostatin,Antidiabetic,Drops,157 mg,Diabetes
Ibupronazole,Analgesic,Ointment,976 mg,Depression
Dolomycin,Antidepressant,Ointment,284 mg,Wound
Dolonazole,Antiviral,Capsule,503 mg,Wound
Dolovir,Antibiotic,Ointment,790 mg,Infection
Ibupromycin,Antiviral,Injection,260 mg,Pain
Cefmet,Antidepressant,Syrup,360 mg,Infection
Cefstatin,Analgesic,Cream,394 mg,Fever
Cefphen,Analgesic,Syrup,50 mg,Fungus
Clarimet,Antipyretic,Capsule,714 mg,Wound
Acetostatin,Antiviral,Inhaler,127 mg,Fever
Clariprofen,Antipyretic,Drops,457 mg,Depression
Cefmycin,Antifungal,Ointment,778 mg,Diabetes
Clarinazole,Antipyretic,Ointment,419 mg,Virus
Clarimet,Antipyretic,Tablet,957 mg,Fungus
Acetomet,Antidiabetic,Cream,985 mg,Fungus
Ibupromycin,Antifungal,Ointment,990 mg,Fungus
Cefphen,Antidiabetic,Syrup,194 mg,Fungus
Clariprofen,Antidiabetic,Cream,706 mg,Wound
Amoxiphen,Antipyretic,Injection,984 mg,Pain
Dextronazole,Antipyretic,Drops,813 mg,Fever
Acetomycin,Antiseptic,Cream,493 mg,Pain
Ibuprocillin,Antiseptic,Inhaler,997 mg,Depression
Dextrocillin,Antifungal,Capsule,110 mg,Diabetes
Dolovir,Antifungal,Inhaler,58 mg,Fever
Cefstatin,Antibiotic,Capsule,726 mg,Depression
Ibupronazole,Antibiotic,Ointment,894 mg,Depression
Acetoprofen,Antifungal,Injection,906 mg,Diabetes
Cefstatin,Antifungal,Injection,876 mg,Wound
Dextronazole,Analgesic,Tablet,723 mg,Infection
Dextrocillin,Antipyretic,Injection,54 mg,Fungus
Ibupromycin,Antipyretic,Tablet,47 mg,Pain
Acetomycin,Antipyretic,Syrup,272 mg,Virus
Ibuprocillin,Analgesic,Capsule,743 mg,Fever
Clarimycin,Antiviral,Ointment,509 mg,Wound
Dolocillin,Antifungal,Tablet,608 mg,Pain
Clarivir,Analgesic,Injection,92 mg,Depression
Dolonazole,Antiviral,Syrup,505 mg,Infection
Acetophen,Antipyretic,Drops,784 mg,Pain
Acetoprofen,Antiviral,Ointment,53 mg,Wound
Claristatin,Antifungal,Capsule,472 mg,Wound
Ibupronazole,Analgesic,Ointment,548 mg,Depression
Cefvir,Analgesic,Capsule,305 mg,Wound
Cefnazole,Antiviral,Injection,697 mg,Fever
Clarivir,Antifungal,Inhaler,438 mg,Virus
Dextrovir,Antifungal,Inhaler,827 mg,Fungus
Acetomycin,Antiviral,Tablet,176 mg,Wound
Amoxivir,Antifungal,Ointment,279 mg,Infection
Dolomet,Antidiabetic,Capsule,898 mg,Fever
Ibuprostatin,Antiseptic,Cream,256 mg,Fungus
Doloprofen,Antidiabetic,Syrup,942 mg,Fever
Metophen,Antibiotic,Tablet,197 mg,Depression
Metovir,Antipyretic,Drops,493 mg,Fever
Acetocillin,Antidepressant,Ointment,765 mg,Fever
Ibupromycin,Antifungal,Syrup,815 mg,Fever
Dextromet,Antibiotic,Syrup,257 mg,Infection
Ibuprostatin,Antiviral,Ointment,935 mg,Fever
Cefprofen,Antidepressant,Tablet,401 mg,Virus
Dextronazole,Antibiotic,Tablet,491 mg,Infection
Doloprofen,Antidiabetic,Inhaler,131 mg,Diabetes
Dextromet,Antidiabetic,Syrup,591 mg,Fever
Acetovir,Antifungal,Drops,521 mg,Depression
Doloprofen,Antidepressant,Syrup,223 mg,Wound
Cefphen,Antibiotic,Cream,461 mg,Depression
Dolophen,Analgesic,Syrup,581 mg,Virus
Dextromet,Antifungal,Drops,94 mg,Fever
Dextroprofen,Antidepressant,Drops,389 mg,Diabetes
Clarivir,Antipyretic,Drops,730 mg,Pain
Amoxivir,Antiseptic,Syrup,198 mg,Virus
Cefprofen,Antiviral,Inhaler,391 mg,Depression
Ibuproprofen,Antidepressant,Tablet,782 mg,Fever
Cefprofen,Antiviral,Ointment,404 mg,Pain
Ibuproprofen,Antidepressant,Tablet,549 mg,Infection
Claricillin,Antipyretic,Injection,375 mg,Fever
Dextromycin,Antidiabetic,Ointment,272 mg,Diabetes
Dolocillin,Analgesic,Capsule,225 mg,Depression
Ibuprophen,Antipyretic,Tablet,118 mg,Virus
Cefphen,Antipyretic,Tablet,999 mg,Depression
Dolophen,Antidepressant,Tablet,650 mg,Depression
Ibupronazole,Antidiabetic,Inhaler,886 mg,Depression
Cefmet,Antipyretic,Inhaler,222 mg,Fungus
Clariphen,Antifungal,Cream,90 mg,Virus
Metophen,Antiviral,Capsule,218 mg,Infection
Dolophen,Antipyretic,Ointment,66 mg,Fungus
Acetophen,Antibiotic,Tablet,21 mg,Virus
Dolocillin,Antiseptic,Capsule,279 mg,Depression
Dextrocillin,Antiviral,Ointment,252 mg,Fever
Metovir,Antiseptic,Cream,44 mg,Depression
Dextromet,Antifungal,Injection,731 mg,Virus
Dolostatin,Antiviral,Drops,865 mg,Infection
Dolonazole,Analgesic,Capsule,101 mg,Fungus
Ibupronazole,Antidepressant,Syrup,504 mg,Diabetes
Dextrocillin,Antidiabetic,Ointment,359 mg,Fever
Acetomycin,Analgesic,Ointment,755 mg,Wound
Claristatin,Analgesic,Drops,636 mg,Wound
Metoprofen,Antiseptic,Injection,113 mg,Wound
Clariphen,Analgesic,Ointment,512 mg,Fungus
Ibupronazole,Antifungal,Capsule,157 mg,Pain
Cefmycin,Antibiotic,Tablet,38 mg,Diabetes
Acetovir,Antiviral,Ointment,731 mg,Infection
Acetomycin,Antibiotic,Drops,603 mg,Pain
Ibuprophen,Antifungal,Inhaler,451 mg,Depression
Metostatin,Antibiotic,Injection,19 mg,Fever
Ibupromycin,Antidepressant,Cream,25 mg,Pain
Dextromycin,Antidiabetic,Capsule,708 mg,Fungus
Dolovir,Antidepressant,Syrup,678 mg,Diabetes
Acetomet,Analgesic,Cream,948 mg,Infection
Acetonazole,Analgesic,Ointment,543 mg,Depression
Dolomycin,Antidepressant,Injection,537 mg,Fever
Dextronazole,Analgesic,Cream,176 mg,Fever
Ibuprostatin,Antifungal,Drops,319 mg,Fever
Dolomycin,Antiseptic,Tablet,281 mg,Fever
Amoxiprofen,Antidepressant,Syrup,60 mg,Virus
Dolovir,Antipyretic,Cream,540 mg,Fever
Dextrovir,Antidepressant,Injection,138 mg,Fever
Ibuprovir,Antiviral,Syrup,589 mg,Virus
Clariprofen,Antiviral,Capsule,372 mg,Depression
Amoxiphen,Antipyretic,Capsule,961 mg,Depression
Clarivir,Antifungal,Tablet,97 mg,Infection
Amoxivir,Antidepressant,Cream,230 mg,Infection
Clarimet,Analgesic,Capsule,20 mg,Depression
Metoprofen,Antiseptic,Tablet,486 mg,Virus
Claricillin,Antiseptic,Injection,463 mg,Pain
Metophen,Antibiotic,Capsule,89 mg,Fever
Ibupromet,Antibiotic,Drops,919 mg,Depression
Ibuprophen,Antiviral,Drops,617 mg,Diabetes
Acetocillin,Antibiotic,Inhaler,742 mg,Depression
Metostatin,Analgesic,Syrup,761 mg,Depression
Dolostatin,Antidepressant,Inhaler,332 mg,Depression
Cefstatin,Antidiabetic,Syrup,456 mg,Wound
Dolophen,Antidepressant,Inhaler,166 mg,Pain
Dextrophen,Antidiabetic,Injection,286 mg,Virus
Cefphen,Analgesic,Tablet,184 mg,Diabetes
Dextrovir,Antipyretic,Cream,523 mg,Virus
Acetophen,Antifungal,Capsule,151 mg,Infection
Amoximet,Antiviral,Capsule,378 mg,Infection
Metovir,Antibiotic,Injection,148 mg,Diabetes
Ibuprophen,Antiseptic,Cream,4 mg,Diabetes
Clarimycin,Antibiotic,Inhaler,181 mg,Infection
Acetomet,Antifungal,Injection,687 mg,Fever
Metocillin,Antiseptic,Ointment,609 mg,Pain
Dextrophen,Antidepressant,Ointment,639 mg,Wound
Clarimet,Antibiotic,Inhaler,664 mg,Infection
Claristatin,Antipyretic,Syrup,694 mg,Diabetes
Ibupronazole,Antipyretic,Injection,480 mg,Fever
Dolophen,Antiseptic,Capsule,962 mg,Pain
Dolomycin,Antidiabetic,Cream,656 mg,Pain
Amoxiphen,Antipyretic,Ointment,309 mg,Virus
Clarinazole,Antidiabetic,Tablet,500 mg,Infection
Clarimet,Antifungal,Injection,821 mg,Virus
Dextronazole,Antibiotic,Syrup,232 mg,Fungus
Amoxiphen,Antipyretic,Capsule,158 mg,Virus
Amoximycin,Antiseptic,Injection,449 mg,Depression
Acetonazole,Antipyretic,Ointment,309 mg,Infection
Amoxinazole,Analgesic,Capsule,574 mg,Wound
Dextrocillin,Antipyretic,Drops,624 mg,Depression
Ibupromet,Antidepressant,Capsule,790 mg,Fungus
Acetovir,Antidiabetic,Drops,458 mg,Virus
Amoxicillin,Antibiotic,Tablet,526 mg,Pain
Acetomet,Antipyretic,Drops,616 mg,Fungus
Ibupromycin,Antifungal,Drops,576 mg,Infection
Clarivir,Antiseptic,Inhaler,871 mg,Pain
Dolocillin,Antipyretic,Capsule,896 mg,Fungus
Dextrophen,Antiseptic,Tablet,66 mg,Wound
Dolomet,Antidiabetic,Capsule,99 mg,Wound
Metoprofen,Antiseptic,Inhaler,570 mg,Infection
Amoxivir,Analgesic,Syrup,837 mg,Fever
Claristatin,Antibiotic,Ointment,471 mg,Infection
Acetomycin,Antibiotic,Injection,320 mg,Depression
Ibuprophen,Antiseptic,Capsule,660 mg,Wound
Doloprofen,Antipyretic,Tablet,723 mg,Virus
Cefphen,Analgesic,Ointment,563 mg,Depression
Dextrostatin,Antidepressant,Injection,674 mg,Fever
Dextromycin,Antiviral,Inhaler,521 mg,Diabetes
Ibuprovir,Analgesic,Syrup,153 mg,Virus
Clarinazole,Antibiotic,Capsule,159 mg,Pain
Dextromet,Antidepressant,Syrup,756 mg,Depression
Cefvir,Antipyretic,Injection,923 mg,Pain
Dextrophen,Antidiabetic,Syrup,949 mg,Wound
Cefcillin,Antiseptic,Cream,580 mg,Fever
Amoximycin,Antibiotic,Inhaler,107 mg,Infection
Dolocillin,Antidepressant,Ointment,849 mg,Pain
Acetomet,Antibiotic,Tablet,779 mg,Virus
Metostatin,Antifungal,Ointment,305 mg,Diabetes
Amoximet,Antidiabetic,Inhaler,292 mg,Wound
Cefmet,Antidiabetic,Cream,498 mg,Diabetes
Ibuproprofen,Antiviral,Capsule,6 mg,Pain
Metocillin,Antiviral,Cream,93 mg,Fever
Acetomycin,Antidiabetic,Inhaler,135 mg,Diabetes
Metophen,Antibiotic,Syrup,444 mg,Wound
Ibuprophen,Antiviral,Tablet,932 mg,Depression
Cefcillin,Antifungal,Drops,12 mg,Depression
Cefcillin,Antidiabetic,Drops,722 mg,Infection
Metomet,Antiviral,Tablet,689 mg,Pain
Clarinazole,Antibiotic,Injection,599 mg,Diabetes
Dextrostatin,Antipyretic,Capsule,427 mg,Pain
Dolocillin,Antifungal,Tablet,972 mg,Diabetes
Acetovir,Antibiotic,Drops,676 mg,Depression
Metomet,Antifungal,Syrup,710 mg,Pain
Dolocillin,Antipyretic,Syrup,674 mg,Pain
Clarimet,Antifungal,Inhaler,516 mg,Pain
Acetostatin,Antipyretic,Inhaler,447 mg,Depression
Dextrocillin,Antiviral,Syrup,150 mg,Depression
Clarimet,Antipyretic,Tablet,678 mg,Fever
Acetomycin,Antiseptic,Injection,912 mg,Fungus
Acetoprofen,Antiseptic,Syrup,922 mg,Infection
Cefnazole,Analgesic,Drops,711 mg,Fever
Dolocillin,Antidiabetic,Injection,685 mg,Virus
Ibuprostatin,Antiviral,Inhaler,44 mg,Diabetes
Metoprofen,Antifungal,Ointment,858 mg,Depression
Amoxiprofen,Analgesic,Inhaler,509 mg,Wound
Amoxivir,Antiviral,Syrup,492 mg,Virus
Ibuprophen,Antifungal,Inhaler,587 mg,Fungus
Ibupromet,Antidiabetic,Syrup,43 mg,Pain
Metostatin,Antiviral,Tablet,33 mg,Infection
Dolophen,Antidepressant,Ointment,332 mg,Fungus
Cefprofen,Antipyretic,Tablet,473 mg,Infection
Dolostatin,Antiviral,Injection,501 mg,Fungus
Ibuprostatin,Antiseptic,Tablet,202 mg,Fever
Acetoprofen,Antipyretic,Injection,554 mg,Fever
Ibuproprofen,Antipyretic,Syrup,575 mg,Diabetes
Clariphen,Analgesic,Syrup,788 mg,Wound
Clarivir,Antiseptic,Inhaler,715 mg,Infection
Dextrocillin,Antidiabetic,Ointment,282 mg,Wound
Amoxistatin,Antiviral,Capsule,949 mg,Virus
Amoxiprofen,Antibiotic,Drops,755 mg,Fever
Claristatin,Antibiotic,Tablet,657 mg,Pain
Dextrophen,Antidepressant,Tablet,839 mg,Pain
Amoximycin,Antidepressant,Syrup,929 mg,Depression
Cefprofen,Antidepressant,Drops,842 mg,Pain
Ibuprocillin,Antiviral,Syrup,12 mg,Virus
Dextromycin,Antifungal,Ointment,145 mg,Wound
Ibupromycin,Antidiabetic,Drops,989 mg,Fever
Acetophen,Antifungal,Capsule,487 mg,Wound
Cefstatin,Antibiotic,Cream,857 mg,Infection
Dextrostatin,Analgesic,Injection,48 mg,Pain
Clarinazole,Antidiabetic,Syrup,799 mg,Virus
Acetomycin,Antibiotic,Injection,735 mg,Virus
Acetoprofen,Antidiabetic,Syrup,870 mg,Fever
Metomycin,Antipyretic,Syrup,197 mg,Virus
Clarivir,Analgesic,Syrup,670 mg,Fungus
Metovir,Antibiotic,Inhaler,471 mg,Diabetes
Ibuprophen,Antifungal,Cream,157 mg,Infection
Doloprofen,Antifungal,Ointment,671 mg,Diabetes
Claristatin,Analgesic,Capsule,815 mg,Depression
Clarinazole,Antibiotic,Drops,435 mg,Virus
Acetophen,Antiviral,Injection,144 mg,Wound
Dolovir,Antidiabetic,Inhaler,466 mg,Infection
Amoxistatin,Antifungal,Inhaler,722 mg,Infection
Ibuprostatin,Analgesic,Syrup,370 mg,Fever
Acetocillin,Analgesic,Tablet,716 mg,Fungus
Ibupromycin,Antiviral,Capsule,702 mg,Depression
Cefmet,Analgesic,Inhaler,39 mg,Fungus
Dextrostatin,Antifungal,Ointment,706 mg,Pain
Claricillin,Antidiabetic,Tablet,508 mg,Diabetes
Metonazole,Antidiabetic,Capsule,279 mg,Virus
Claricillin,Antidepressant,Capsule,286 mg,Fungus
Amoxiphen,Analgesic,Capsule,180 mg,Fever
Dolomycin,Antidiabetic,Drops,155 mg,Diabetes
Cefmet,Analgesic,Inhaler,332 mg,Diabetes
Ibuproprofen,Antibiotic,Capsule,474 mg,Virus
Ibupronazole,Antiseptic,Cream,12 mg,Fungus
Ibupromet,Analgesic,Ointment,771 mg,Wound
Cefphen,Antidiabetic,Injection,557 mg,Depression
Clariprofen,Antifungal,Drops,968 mg,Virus
Acetostatin,Analgesic,Ointment,194 mg,Infection
Acetomet,Antidiabetic,Syrup,137 mg,Fungus
Clarivir,Antiviral,Syrup,82 mg,Infection
Dextrovir,Antifungal,Capsule,35 mg,Diabetes
Acetomet,Antiseptic,Inhaler,625 mg,Infection
Clarimet,Antiseptic,Drops,999 mg,Fungus
Dextrovir,Analgesic,Inhaler,992 mg,Virus
Ibuproprofen,Analgesic,Syrup,60 mg,Pain
Dextrostatin,Antidepressant,Injection,477 mg,Diabetes
Acetoprofen,Antifungal,Inhaler,973 mg,Virus
Amoxiphen,Antiviral,Drops,295 mg,Infection
Dolonazole,Antidepressant,Drops,891 mg,Diabetes
Clarinazole,Antidepressant,Capsule,177 mg,Fever
Metoprofen,Antibiotic,Inhaler,610 mg,Infection
Ibuprovir,Antifungal,Capsule,976 mg,Diabetes
Acetophen,Antifungal,Inhaler,398 mg,Fungus
Claricillin,Analgesic,Inhaler,68 mg,Virus
Dextrophen,Antidiabetic,Drops,637 mg,Pain
Amoximycin,Antiviral,Ointment,911 mg,Depression
Doloprofen,Antidepressant,Drops,472 mg,Wound
Cefstatin,Antipyretic,Inhaler,152 mg,Wound
Clarinazole,Antiviral,Injection,731 mg,Diabetes
Cefprofen,Antidepressant,Capsule,787 mg,Infection
Acetoprofen,Antibiotic,Capsule,753 mg,Virus
Acetoprofen,Antibiotic,Inhaler,943 mg,Fever
Dextrovir,Analgesic,Tablet,368 mg,Pain
Ibuprovir,Antipyretic,Ointment,838 mg,Wound
Clarimet,Antiviral,Ointment,296 mg,Depression
Clarimycin,Antibiotic,Syrup,641 mg,Wound
Metomet,Antiseptic,Inhaler,489 mg,Pain
Dolovir,Antipyretic,Drops,49 mg,Diabetes
Acetocillin,Antifungal,Drops,441 mg,Fever
Clarimet,Analgesic,Inhaler,513 mg,Pain
Clarinazole,Antidepressant,Drops,417 mg,Pain
Amoxiphen,Antidepressant,Drops,582 mg,Pain
Acetomet,Analgesic,Injection,901 mg,Diabetes
Acetophen,Antiseptic,Drops,980 mg,Virus
Dextrostatin,Analgesic,Ointment,294 mg,Fungus
Cefmet,Antidiabetic,Syrup,58 mg,Infection
Dolophen,Antibiotic,Cream,717 mg,Infection
Claristatin,Analgesic,Drops,271 mg,Fever
Dextrostatin,Antipyretic,Tablet,51 mg,Pain
Dextrocillin,Antiviral,Injection,31 mg,Wound
Cefmycin,Antipyretic,Tablet,561 mg,Depression
Amoxicillin,Antipyretic,Inhaler,196 mg,Wound
Ibuprocillin,Antidiabetic,Syrup,714 mg,Diabetes
Acetomet,Antipyretic,Cream,115 mg,Infection
Amoxistatin,Antiviral,Cream,47 mg,Virus
Acetonazole,Analgesic,Injection,876 mg,Fungus
Cefstatin,Antiviral,Drops,348 mg,Diabetes
Acetomycin,Antiseptic,Tablet,583 mg,Diabetes
Metostatin,Antiviral,Ointment,889 mg,Infection
Acetonazole,Antidiabetic,Injection,32 mg,Virus
Dextrophen,Antidepressant,Cream,121 mg,Fungus
Amoxiphen,Antipyretic,Injection,706 mg,Virus
Metostatin,Analgesic,Syrup,902 mg,Wound
Dolonazole,Analgesic,Ointment,310 mg,Fungus
Metostatin,Antiviral,Drops,492 mg,Fever
Clariprofen,Antidiabetic,Capsule,372 mg,Diabetes
Clarimycin,Antiseptic,Ointment,560 mg,Depression
Cefprofen,Antidepressant,Ointment,437 mg,Infection
Amoxiprofen,Antibiotic,Tablet,783 mg,Diabetes
Dextrocillin,Antiviral,Capsule,869 mg,Virus
Amoxicillin,Antiviral,Drops,872 mg,Pain
Amoximycin,Antiseptic,Ointment,762 mg,Pain
Dolophen,Antipyretic,Tablet,870 mg,Wound
Metophen,Antidiabetic,Ointment,639 mg,Pain
Ibupromycin,Antibiotic,Syrup,550 mg,Virus
Clariprofen,Antiseptic,Drops,777 mg,Diabetes
Dextrostatin,Analgesic,Cream,981 mg,Infection
Metoprofen,Antifungal,Inhaler,496 mg,Fever
Dextrovir,Antiseptic,Inhaler,204 mg,Wound
Dolophen,Antibiotic,Inhaler,138 mg,Fever
Ibupromet,Antiseptic,Ointment,898 mg,Infection
Acetonazole,Antiseptic,Drops,929 mg,Fungus
Clariphen,Analgesic,Inhaler,399 mg,Infection
Clarimycin,Antipyretic,Ointment,985 mg,Pain
Dextronazole,Antiviral,Capsule,353 mg,Virus
Dextrovir,Antiseptic,Injection,494 mg,Diabetes
Dextromet,Antifungal,Ointment,677 mg,Infection
Claristatin,Antidiabetic,Syrup,20 mg,Depression
Dolophen,Antiviral,Tablet,243 mg,Wound
Dextrocillin,Analgesic,Injection,627 mg,Fever
